Data,%,Ocupadas
02-11-2015,20.31,13
03-11-2015,54.69,35
04-11-2015,76.56,49
05-11-2015,51.56,33
06-11-2015,15.63,10
07-11-2015,18.75,12
08-11-2015,21.88,14
09-11-2015,79.69,51
10-11-2015,90.63,58
11-11-2015,67.19,43
12-11-2015,56.25,36
13-11-2015,29.69,19
14-11-2015,39.06,25
15-11-2015,43.75,28
16-11-2015,51.56,33
17-11-2015,93.75,60
18-11-2015,98.44,63
19-11-2015,70.31,45
20-11-2015,42.19,27
21-11-2015,45.31,29
22-11-2015,15.63,10
23-11-2015,46.88,30
24-11-2015,78.13,50
25-11-2015,87.50,56
26-11-2015,65.63,42
27-11-2015,23.44,15
28-11-2015,14.06,9
29-11-2015,17.19,11
30-11-2015,73.44,47
01-12-2015,90.63,58
02-12-2015,96.88,62
03-12-2015,70.31,45
04-12-2015,26.56,17
05-12-2015,34.38,22
06-12-2015,12.50,8
07-12-2015,73.44,47
08-12-2015,71.88,46
09-12-2015,79.69,51
10-12-2015,62.50,40
11-12-2015,32.81,21
12-12-2015,78.13,50
13-12-2015,14.06,9
14-12-2015,62.50,40
15-12-2015,60.94,39
16-12-2015,85.94,55
17-12-2015,96.88,62
18-12-2015,42.19,27
19-12-2015,42.19,27
20-12-2015,26.56,17
21-12-2015,39.06,25
22-12-2015,53.13,34
23-12-2015,46.88,30
24-12-2015,56.25,36
25-12-2015,60.94,39
